X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X
X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X
X,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X
X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X
X,O,X,O,X,O,O,O,X,O,X,O,O,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,X,O,X,O,X,O,X
X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X
X,O,X,O,O,O,O,O,X,O,O,O,X,O,X,O,O,O,X,O,X,O,O,O,X,O,O,O,X,O,O,O,X,O,X
X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X
X,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,X
X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X
X,O,X,O,X,O,O,O,X,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,O,O,X
X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X
X,O,O,O,X,O,X,O,O,O,X,O,X,O,O,O,X,O,X,O,O,O,X,O,X,O,O,O,X,O,O,O,X,O,X
X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X
X,O,X,O,X,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X
X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X
X,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,X,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,R
X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X
X,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,X,O,X,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,X
X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X
X,O,O,O,O,O,X,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,X,O,X,O,O,O,X,O,X,O,O,O,X
X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X
X,O,X,O,X,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,X,O,O,O,X,O,X,O,X
X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X
X,O,X,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,X
X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X
X,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,X
X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X
X,O,X,O,X,X,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,X
X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X
X,O,O,O,O,O,X,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,X,O,O,O,X
X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X
X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
